정답,유사답안,출제연도,문제소분류,문제대분류,문제,비고
빅데이터는 21세기 원유,,서브노트,1과목,1과목,"다음 빅데이터의 기능에 관한 설명에 해당하는 말을 쓰시오.
- 빅데이터도 원유처럼 각종 비즈니스, 공공기관 대국민 서비스, 그리고 경제 성장에 필요한 정보를 제공하여 산업 전반의 생산성을 향상시키고 새로운 범주의 산업을 만들어낼 것으로 기대된다.",
빅데이터는 렌즈,,서브노트,1과목,1과목,"다음 빅데이터의 기능에 관한 설명에 해당하는 말을 쓰시오.
- 렌즈를 통해 현미경이 생물학 발전에 끼쳤던 영향만큼, 빅데이터도 렌즈처럼 산업 발전에 큰 영향을 줄 것으로 기대된다.
- 대표 사례) 구글의 Ngram Viewer: 세상에 존재하는 모든 책을 온라인에 담기 위해 구글이 시작한 프로젝트로, 책 속에서 특정 단어의 등장 빈도수를 연도별로 검색할 수 있다.",
빅데이터는 플랫폼,,서브노트,1과목,1과목,"다음 빅데이터의 기능에 관한 설명에 해당하는 말을 쓰시오.
- 플랫폼은 공동 활용을 목적으로 구축된 유무형의 구조물을 말한다. 빅데이터는 플랫폼으로서 다양한 서드파티 비즈니스에 활용될 것으로 기대된다.
- 대표 사례) 페이스북, 카카오톡 등",
상관관계,,서브노트,1과목,1과목,"빅데이터가 만들어낸 변화의 설명 중 빈 칸에 알맞은 말은?
- 특정한 인과관계가 중요시되던 과거와 달리 데이터의 양이 급격하게 늘어나면서 상관관계를 통해 특정 현상의 발생 가능성이 포착되고, 그에 상응하는 행동을 추천하는 등 ( )를 통한 인사이트 도출이 점점 확산되고 있다.",
"데이터, 기술, 인력",,서브노트,1과목,1과목,미래의 빅데이터 활용에 필요한 3요소를 모두 쓰시오.,
연관 분석,,서브노트,1과목,1과목,장바구니 분석으로도 불리며 고객이 구매한 물품들을 분석하여 품목 사이에 어떠한 규칙이 있는지 찾아내는 분석 기법은?,
유전 알고리즘,,서브노트,1과목,1과목,"최적화가 필요한 문제의 해결책을 자연선택, 돌연변이 등과 같은 메커니즘을 통해 점진적으로 진화시켜 나가는 방법이다. 최대의 시청률을 얻으려면 어떤 프로그램을 어떤 시간대에 방송해야 하는가? 와 같은 문제를 해결할 때 사용하는 분석 방법은?",
기계 학습,머신러닝 (Machine learning),서브노트,1과목,1과목,훈련 데이터로부터 학습한 알려진 특성을 활용해 예측하는 데 초점을 둔 방법이다. 기존 시청 기록을 바탕으로 시청자가 보유한 영화 중 어떤 영화를 가장 보고 싶어 할까?와 같은 문제를 해결할 때 사용하는 분석 방법은?,
사회관계망분석,소셜 네트워크 분석(Social network analysis),서브노트,1과목,1과목,"SNS 같은 온라인 공간에서 유저 사이의 팔로워, 팔로잉 관계를 분석하여 영향력이 있는 사람을 찾아내 기업의 효율적인 마케팅이나 범죄 수사에서 공범을 찾는 등 다양한 분야에서 활용될 수 있는 분석 방법은?",
결과 기반 책임 원칙 고수,,서브노트,1과목,1과목,"특정인의 성향에 따라 처벌하는 것이 아닌 행동 결과를 보고 처벌한다는 내용으로, 범죄를 저지를 것이라 예상되더라도 현 시점에서 아무런 범죄가 발생하지 않았으므로 어떠한 조치도 취할 수 없다는 빅데이터 통제방안은?",
알고리즈미스트,(Algorithmist),서브노트,1과목,1과목,데이터가 어떻게 사용되어 어떠한 이유로 피해자가 발생하게 되었는지 데이터 활용 로직인 알고리즘을 살펴봄으로써 피해자를 구제할 수 있다. 최근에는 알고리즘을 이해하고 해석함으로써 사전에 피해자를 방지하고 피해자를 구제하는 전문 인력인 ( ) 가 필요해졌다.,
데이터 마스킹,,서브노트,1과목,1과목,개인정보 비식별 조치의 하나로 데이터의 기존 형식을 유지한 채 식별할 수 없는 임의의 값(혹은 기호)으로 대체하는 비식별 조치는?,
"창의적 사고, 호기심, 논리적 비판, 창의력, 스토리텔링, 시각화, 커뮤니케이션",,서브노트,1과목,1과목,데이터 사이언티스트에게 요구되는 소프트 스킬 역량을 3가지 이상 쓰시오.,
빅데이터 플랫폼,,서브노트,1과목,1과목,"데이터의 수집, 저장, 처리, 관리 및 분석 등의 역할 수행을 지원함으로써 새로운 인사이트와 비즈니스 가치 창출이 가능한 빅데이터 프로세스 환경을 무엇이라고 하는가?",
최적화,Optimization,서브노트,2과목,2과목,분석 대상이 무엇인지 알고 있고 그 분석 방법도 알고 있다면 기업에서 추진해야 할 분석 주제는 무엇인가?,
통찰,Insight,서브노트,2과목,2과목,"분석 대상이 무엇인지는 모르지만, 그 분석 방법은 알고 있다면 기업에서 추진해야 할 분석 주제는 무엇인가?",
프레이밍 효과,,서브노트,2과목,2과목,"기업의 합리적 의사결정 방해요소로 고정관념, 편향된 생각, 그리고 ( )가 있는데 ( )는 동일한 사건이나 상황을 두고도 개인의 판단이나 선택이 달라질 수 있는 현상을 의미한다.",
나선형 모델,,서브노트,2과목,2과목,"분석방법론이 적용되는 모델로, 이 모델은 반복을 통해 점증적으로 개발하는 측면에서 프로토타입 모델과 유사하지만 사용자의 요구에 초점을 맞추기보다 위험요소를 사전에 제거한다는 것에 초점을 맞춘다는 차이가 있다. 이 모델은 처음 시도하는 프로젝트에는 적용이 용이하지만 관리 체계를 효과적으로 갖추지 못하면 복잡도가 상승한다는 문제가 있다. 이 모델은 무엇인가?",
프로토타입 모델,,서브노트,2과목,2과목,"분석방법론이 적용되는 모델로, 이 모델은 사용자 중심의 개발 방법으로 고객의 요구를 완전히 이해하지 못할 경우 적용한다. 일부분을 먼저 개발하고, 그 이후 사용자의 요구를 분석, 정당성 점검, 성능을 평가하는 등의 과정을 통한 개선 작업을 시행하면서 점진적으로 시스템을 개발해 나가는 접근 방식의 이 모델은 무엇인가?",
CRISP-DM 분석 방법론,,서브노트,2과목,2과목,"다른 계층적 프로세스 모델은 단계, 테스크, 스텝 3개의 레벨로 구성되어 있지만 ( ) 분석 방법론은 단계, 일반화 태스크, 세분화 태스크, 프로세스 실행의 4개의 레벨과 업무 이해, 데이터 이해, 데이터 준비, 모델링, 평가, 전개의 6단계로 구성되어 있다. 빈 칸에 알맞은 전통적인 분석 방법론은 무엇인가?",
"분석 기획, 데이터 준비, 데이터 분석, 시스템 구현, 평가 및 전개",,서브노트,2과목,2과목,빅데이터 분석 방법론 5단계를 모두 쓰시오,
상향식 접근법,,서브노트,2과목,2과목,"분석과제 탐색 방법 중에서 대규모 데이터가 생성되고 빠르게 변화하는 현대에는 문제가 무엇인지 사전에 정의하는 것이 어렵기 때문에 다양한 데이터의 조합 속에서 인사이트를 찾아내는 Bottom-Up 방식으로, 분석 대상을 모를 경우 사용하는 접근법은 무엇인가?",
디자인 씽킹,,서브노트,2과목,2과목,상향식 접근법의 발산 단계와 하향식 접근법의 수렴 단계가 반복적으로 수행되어 상호 보완적으로 분석의 가치를 높이는 의사결정 방식은 무엇인가?,
"(A) 고객, (B) 규제와 감사","(A) Customers, (B) Audit & Regulation",서브노트,2과목,2과목,"비즈니스 모델 캔버스의 9가지 블록을 5가지로 단순화한 탐색 기법이다. 업무(Operation), 제품(Product), ( A ) 단위로 문제를 발굴하고 이를 관리하는 ( B ), 지원 인프라(IT & Human Resource)의 두 가지 영역에 대한 기회를 추가로 도출하는 작업을 수행한다.
- 여기서의 지원 인프라는 분석을 수행하는 시스템 영역(IT)과 이를 운영하고 관리하는 인력(Human Resource)의 영역을 의미한다. ",
시장의 니즈,,서브노트,2과목,2과목,"분석 기회 발굴 범위의 확장은 기업과 산업 환경을 중심으로 거시적 관점, 경쟁자, ( ), 역량 등 4가지 영역에 대해 비즈니스 문제를 발굴하는 방법이다.",
"머신러닝, 의사결정나무, 인공신경망 모형, 분류분석",,서브노트,2과목,2과목,지도학습이란 정답이 있는 데이터를 활용하여 분석 모델을 학습시키는 것이다. 지도학습의 예를 3가지 이상 쓰시오.,
"장바구니 분석, 기술통계, 프로파일링, 군집 분석, 주성분 분석, 다차원척도",,서브노트,2과목,2과목,"목적이 명확하게 정의된 특정 필드의 값을 구하는 것이 아니라, 데이터 자체의 결합, 연관성, 유사성 등을 중심으로 데이터의 상태를 표현하는 비지도학습의 예를 3가지 이상 쓰시오.",
정밀도,Precision,서브노트,2과목,2과목,"분석의 결과로 모델이 구축되었다면 모델의 성능을 측정해야 하는데, 이때 반복적으로 모델을 사용했을 때의 모델 값들의 편차 수준을 확인하는 측도로 사용되는 것은 무엇인가?",
마스터플랜 수립 프레임워크,,서브노트,2과목,2과목,분석과제의 우선 순위와 적용 범위 및 방식을 종합적으로 고려하여 최종적으로 분석 구현의 로드맵을 수립한다. 이러한 일련의 과정과 형식을 무엇이라 부르는가?,
비즈니스 성과 및 ROI,,서브노트,2과목,2과목,"분석 마스터플랜을 수립하는 첫 단추는 발굴한 분석과제의 우선 순위를 정하는 일이다. 빈 칸에 들어갈 알맞은 말을 쓰시오.
- 전략적 중요도, ( ), 분석과제의 실행 용이성을 기준으로 고려해 분석과제의 우선순위를 설정한다.",
ISP,Information Strategic Planning,서브노트,2과목,2과목,"정보기술 및 정보시스템을 전략적으로 활용하기 위해 먼저 조직의 내외부 환경을 분석하고 문제점을 도출하며, 사용자의 요구를 분석하여 시스템 구축 우선순위를 결정하는 등의 중장기 마스터플랜을 수립하는 절차를 무엇이라 하는가?",
분석 거버넌스,,서브노트,2과목,2과목,"단순히 대용량 데이터를 수집, 축적하는 것보다는 어떤 목적으로 어떤 분석을 수행하고, 분석을 위해 어떻게 데이터를 활용할 것인지 결정하고, 데이터 분석을 기업의 문화로 정착시키고 데이터 분석 업무를 지속적으로 고도화하기 위한 데이터 관리체계를 무엇이라 하는가?",
조직,Organization,서브노트,2과목,2과목,"분석 거버넌스의 구성요소에는 ( ), 운영 프로세스(Process), 분석 관련 시스템(System), 데이터(Data), 분석 관련 교육 및 마인드 육성 체계(Human Resource)가 있다. 빈 칸에 들어갈 말을 쓰시오.",
CMMI,Capability Maturity Model Integration,서브노트,2과목,2과목,"다음 빈 칸에 들어갈 말을 쓰시오.
- 소프트웨어 공학에서는 개발 업무능력과 조직, 프로세스 자체의 성숙도와 업무 프로세스 개선을 위한 조직 역량 등을 ( ) 모델을 활용하여 조직의 성숙도를 평가한다. 같은 맥락으로 데이터 분석 성숙도를 비즈니스 부문, 조직 및 역량 부문, IT 부문의 3개 부문을 대상으로 성숙도 수준을 나누어 볼 수 있다.",
정착형,,서브노트,2과목,2과목,"다음에 해당하는 분석 수준 진단 결과는?
- 낮은 준비도, 높은 성숙도
- 준비도는 낮은 편, 조직, 인력, 분석 업무, 분석 기법을 제한적으로 사용. 우선적으로 분석의 정착이 필요한 기업.",
확산형,,서브노트,2과목,2과목,"다음에 해당하는 분석 수준 진단 결과는?
- 높은 준비도, 높은 성숙도
- 6가지 분석 구성요소를 모두 갖춤. 지속적 확산이 가능한 기업",
준비형,,서브노트,2과목,2과목,"다음에 해당하는 분석 수준 진단 결과는?
- 낮은 준비도, 낮은 성숙도
- 분석을 위한 데이터, 조직 및 인력, 분석 업무, 분석 기법이 적용되지 않으므로 사전 준비가 필요",
도입형,,서브노트,2과목,2과목,"다음에 해당하는 분석 수준 진단 결과는?
- 높은 준비도, 낮은 성숙도
- 분석 업무 및 분석 기법 부족, 조직 및 인력 등 준비도가 높음. 데이터 분석을 바로 도입할 수 있는 기업",
데이터 거버넌스,,서브노트,2과목,2과목,"전사 차원의 모든 데이터에 대해 정책 및 지침, 표준화, 운영 조직 및 책임 등의 표준화된 관리 체계를 수립하고 운영을 위한 프레임워크 및 저장소를 구축하는 것을 무엇이라 하는가?",
기능 중심의 조직,,서브노트,2과목,2과목,"데이터 분석 조직 유형으로, 일반적으로 분석을 수행하는 형태이며, 별도로 분석 조직을 구성하지 않고 각 해당 업무 부서에서 직접 분석하는 형태를 어떤 조직이라 부르는가?",
분산형 조직,,서브노트,2과목,2과목,"데이터 분석 조직 유형으로, 분석 조건의 인력을 현업 부서에 배치해 분석 업무를 수행하는 형태이며, 전사 차원에서 분석과제의 우선순위를 선정해 수행이 가능하며, 분석 결과를 신속하게 실무에 적용할 수 있다는 장점이 있는 조직 형태를 어떤 조직이라 부르는가?",
데이터 마트,,서브노트,3과목,3과목,"데이터 웨어하우스로부터 특정 사용자가 관심을 갖는 데이터들을 주제별, 부서별로 추출하여 모은 비교적 작은 규모의 데이터 웨어하우스를 무엇이라 하는가?",
"(A) 파생, (B) 요약",,서브노트,3과목,3과목,"( A ) 변수는 범용으로 활용되는 기본적인 통계자료가 아닌, 특정한 목적을 갖고 조건을 만족하는 변수들을 새롭게 생성한 것을 의미한다. 예컨대 단순하게 합계를 구해 새로운 변수로 만들었다면 그것은 ( B ) 변수지만, 특정한 매장의 월별 합계 혹은 특정 기간 동안의 남성 고객의 구매 총액 등과 같이 목적 및 조건을 만족하는 변수를 생성했다면 그건 ( A ) 변수다. 따라서 ( A ) 변수는 목적에 따른 특정한 의미가 부여된 변수다. 그래서 ( A ) 변수는 주관적일 수 있으므로 논리적 타당성을 갖추어야 한다.",
reshape 패키지,,서브노트,3과목,3과목,"20개에 가까운 함수들을 보유하고 있으며, 데이터 마트를 개발하는 데 강력한 melt와 cast라는 두 개의 함수가 있는 R의 패키지는 무엇인가?",
탐색적 데이터 분석,"EDA, Exploratory Data Analysis",서브노트,3과목,3과목,이것은 데이터를 이해하고 의미 있는 관계를 찾아내기 위해 데이터의 통곗값과 분포 등을 시각화하고 분석하는 것을 말한다. 이것을 통해 데이터의 특성을 이해하고 이를 토대로 분석 모델을 구축할 수 있다. 이것은 무엇인가?,
이상값,,서브노트,3과목,3과목,값이 존재하지 않는 결측값과 달리 다른 데이터와 비교하였을 때 극단적으로 크거나 극단적으로 작은 값을 무엇이라 하는가?,
ESD,Extreme Studentized Deviation,서브노트,3과목,3과목,"평균으로부터 표준편차 3만큼 떨어진 값들을 이상값으로 인식하는 방법으로, 정규분포에서 99.7%의 자료들은 표준편차 3 안에 위치하므로 전체 데이터의 약 0.3퍼센트를 이상값으로 구분하는 이 방법은 무엇인가?",
계통 추출법,,서브노트,3과목,3과목,"다음의 내용이 의미하는 표본 추출방법을 쓰시오.
- 모집단의 원소에 차례대로 번호를 부여한 뒤 일정한 간격을 두고 데이터를 추출하는 방법이다. N개의 모집단에서 K개씩 (K = N / n) n개의 구간으로 나눈다. 첫 구간에서 (1, 2, 3, …, K개의 구간) 하나를 임의로 선택하고 K개씩 띄어서 표본을 추출한다.",
층화 추출법,,서브노트,3과목,3과목,"다음의 내용이 의미하는 표본 추출방법을 쓰시오.
- 집락 추출법과 유사하나 반대의 성격을 지닌 추출 방법이다. 데이터를 여러 집락으로 구분하지만 각 집락은 서로 이질적이며, 군집 내 데이터들은 서로 동질적이다. 집락을 나눈 뒤, 각 집락에서 원하는 개수의 데이터를 추출하여 추출된 데이터에 대하여 표본조사를 실시한다.",
추리통계,추론통계,서브노트,3과목,3과목,이것은 수집한 데이터를 바탕으로 추론 및 예측하는 통계 기법을 의미한다. 이것은 표본에서 얻은 통계치를 바탕으로 오차를 고려하면서 모수를 확률적으로 추정하는 통계 기법이다. 이것은 표본에서 얻은 통계치를 가지고 모집단의 특성을 추정하는 데 초점을 두고 가설을 검증하거나 확률적인 가능성을 파악한다. 이를 통해 향후 발생할 수 있는 사건을 예측할 수 있다. 이것은 어떤 통계인가?,
포아송 분포,,서브노트,3과목,3과목,"단위 시간 또는 단위 공간 내에서 발생할 수 있는 사건의 발생 횟수에 대한 확률분포를 의미한다. 8시간 동안 3번의 장난 전화가 왔을 때 1시간 동안 장난전화가 2번 올 확률, 5페이지 안에 3개의 오타가 있다면 1페이지 안에 2개의 오타가 있을 확률 등을 예로 들 수 있다. 이 확률분포는 무엇인가?",
카이제곱 분포,,서브노트,3과목,3과목,모평균과 모분산을 모르는 두 개 이상의 집단 간 동질성 검정 또는 모분산 검정을 위해 활용되는 분포는 무엇인가?,
분산,,서브노트,3과목,3과목,"이것은 데이터가 중심에서 얼마나 떨어져 있는지를 알아보기 위한 측도다. 이것은 관측값에서 평균을 뺀 값을 제곱하고, 그것을 모두 더한 후 전체 개수로 나눠서 구한다. 즉, 이것은 차이값의 제곱의 평균이다. 이것은 무엇인가?",
유의확률,p-value,서브노트,3과목,3과목,이것은 귀무가설을 지지하는 정도를 나타낸 확률이다. 이것이 만약 유의수준 a보다 작은 경우에는 귀무가설이 참임을 가정했을 때 이러한 결과가 나올 확률이 매우 적다고 해석할 수 있다. 따라서 귀무가설을 기각하고 대립가설을 채택한다.,
비모수검정,,서브노트,3과목,3과목,정규성 검정에서 정규분포를 따르지 않는다고 증명되거나 표본 군집당 10명 미만의 소규모 실험에서와 같이 정규분포임을 가정할 수 없는 경우에 사용하는 검정은 무엇인가? 이때 정규분포를 따르지 않는 경우 자료를 크기순으로 배열하여 순위를 매긴 다음 순위의 합을 통해 차이를 비교하는 순위합검정을 적용할 수 있다.,
피어슨 상관계수,,서브노트,3과목,3과목,"상관분석 수행 시, 일반적으로 사용되는 상관계수로 측정된 두 변수들이 등간척도 또는 비율척도일 때 사용하는 상관계수를 무엇이라 하는가?",
등분산성,,서브노트,3과목,3과목,"다음의 설명이 나타내는 것은 회귀분석의 가정 중 무엇에 해당하는가?
- 잔차의 분산이 독립변수와 무관하게 일정해야 한다. 잔차가 고르게 분포해야 한다. 독립변수와 잔차에 대한 산점도를 통해 이러한 특성을 확인할 수 있다.",
"(A) 오차, (B) 잔차",,서브노트,3과목,3과목,"다음의 빈칸에 들어갈 말을 쓰시오.
- 모집단의 데이터를 활용하여 회귀식을 구한 경우 예측 값과 실제 값의 차이를 ( A )라 한다. 그러나 모집단을 특정할 수 없는 경우 모집단의 일부인 표본집단으로 회귀식을 추정하게 되는데, 이때 표본집단에 의해 추정된 회귀식의 예측 값과 실제 값의 차이를 ( B )라 한다. 모집단에서는 ( A ), 표본집단에서는 ( B )라 한다.",
"Estimate, Std.Error, t value",Estimate / Std.Error = t value,서브노트,3과목,3과목,"분석 결과에서 회귀계수, 표준오차, t-통계량을 의미하는 것은?",
"Estimate * X + Intercept의 Estimate ",,서브노트,3과목,3과목,분석결과에서 회귀식을 찾는 방법은?,
다중공산성,,서브노트,3과목,3과목,"다음에서 설명하는 이것은 무엇인가?
- 이것은 회귀분석에서 독립변수 간에 강한 상관관계가 나타나는 문제다. 이것이 존재하면 회귀분석의 기본 가정인 독립성(독립 변수 간에는 상관관계가 없이 독립이다)에 위배된다. 또한 A, B라는 변수가 있을 때 이 둘 사이에 이것이 존재하면 A라는 변수가 Y값에 어느 정도의 영향을 미치는지, 또는 B라는 변수가 Y값에 어느 정도의 영향을 미치는지를 정확하게 판단할 수 없다.",
"전진선택법, 후진제거법, 단계선택법",,서브노트,3과목,3과목,단계적 변수선택법은 말 그대로 일정한 단계를 거치면서 변수를 추가하거나 제거하는 방식으로 최적의 회귀방정식을 도출하는 방식이다. 단계적 변수선택법을 두 가지 이상 쓰시오.,
전진선택법,,서브노트,3과목,3과목,"모든 독립변수 가운데 기준 통계치에 가장 많은 영향을 줄 것으로 판단되는 변수부터 하나씩 추가하면서 모형을 선택하는 방법으로, 설명력이 가장 높은 설명변수(p-value가 가장 작은 변수)부터 시작해 하나씩 모형에 추가하는 방법을 무엇이라 하는가?",
"(A) 과(대)적합, (B) 과소적합",,서브노트,3과목,3과목,"일반적으로 학습 데이터에 ( A )되면 일반화 성능이 낮아져 이미 학습한 훈련용 데이터에 대한 성능은 높게 나오지만, 아직 학습하지 않은 테스트 데이터에 대한 성능은 낮게 나온다. 그 이유는 모델이 학습 데이터에 너무 과하게 맞춰져서 새로운 데이터에 일반화하기가 어렵기 때문이다. 반대로 모델이 너무 단순해서 학습 데이터조차 제대로 예측하지 못하는 경우를 ( B )이라고 한다.",
라쏘(Lasso Regression),L1 규제,서브노트,3과목,3과목,"이것은 정규화 선형회귀의 종류로, 가중치들의 절댓값의 합을 최소화하는 것을 제약조건으로 추가하는 방법이다. 이것은 일정한 상숫값이 패널티로 부여되어 일부 불필요한 가중치 파라미터를 0으로 만들어 분석에서 아예 제외시킨다. 몇 개의 의미 있는 변수만 분석에 포함시키고 싶을 때 효과적인 방법이다. 이것은 무엇인가?",
로지스틱 회귀,,서브노트,3과목,3과목,이 분석방법은 종속 변수와 독립 변수 간의 관계를 나타내어 예측 모델을 생성한다는 점에서 선형 회귀 분석 방법과 동일하다. 하지만 독립 변수(x)에 의해서 종속 변수(y)의 범주로 분류한다는 측면은 분류 분석 방법으로 분류한다. 이 분석 방법은 무엇인가?,
포아송 회귀,,서브노트,3과목,3과목,"회귀분석의 일종으로, 종속변수가 특정 시간 동안 발생한 사건의 건수에 대한 도수 자료(count data, 음수가 아닌 정수)인 경우이면서 종속변수가 정규분포를 따르지 않거나 등분산성을 만족하지 못하는 경우에 사용하는 분석방법은 무엇인가?",
자기상관성,,서브노트,3과목,3과목,"다음이 설명하는 시계열 데이터의 특성은 무엇인가?
- 시계열 데이터들은 연속적인 일련의 관측치들이 서로 상관되어 있다. 즉, 하나의 잔차항의 크기가 이웃하는 다른 잔차항의 크기와 서로 일정한 관련이 있다.",
더빈 왓슨 검정,,서브노트,3과목,3과목,회귀분석에 있어 자기상관성이 존재하는지(오차항이 독립성을 만족하는지=오차항이 서로 연관성이 없는지) 검정하는 방법은 무엇인가?,
